CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2
12/31/2012,18:14,Brooklyn,11226,40.6490386,-73.9474653,1.0,1.0,0,1,0,0,1,0,Alcohol Involvement,Unspecified,136731,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE
12/16/2012,4:45,Brooklyn,11203,40.6505183,-73.9235855,1.0,2.0,0,0,0,0,1,2,Unspecified,Unspecified,136573,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
12/28/2012,21:10,Brooklyn,11229,40.6033724,-73.9582113,1.0,1.0,0,0,0,0,1,1,Physical Disability,Unspecified,117798,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
01/05/2013,2:08,Brooklyn,11223,40.5976825,-73.9668499,3.0,3.0,0,0,0,0,3,3,Traffic Control Disregarded,Unspecified,117875,PASSENGER VEHICLE,PASSENGER VEHICLE
11/20/2012,11:38,Queens,11414,40.6596447,-73.8486818,2.0,1.0,0,0,0,0,2,1,Failure to Yield Right-of-Way,Unspecified,229113,OTHER,SPORT UTILITY / STATION WAGON
11/18/2012,2:47,Queens,11411,40.6983571,-73.731358,1.0,1.0,0,0,0,0,1,1,Physical Disability,Alcohol Involvement,221299,PASSENGER VEHICLE,PASSENGER VEHICLE
11/25/2012,18:51,Brooklyn,11229,40.6130524,-73.949118,1.0,1.0,1,1,0,0,0,0,Alcohol Involvement,Unspecified,148544,OTHER,SPORT UTILITY / STATION WAGON
11/15/2012,5:27,Brooklyn,11211,40.7107162,-73.9535811,1.0,1.0,1,1,0,0,0,0,Unspecified,Unspecified,194770,PASSENGER VEHICLE,PASSENGER VEHICLE
11/14/2012,5:48,Brooklyn,11233,40.6769384,-73.9218247,1.0,1.0,0,0,0,0,1,1,Physical Disability,Failure to Yield Right-of-Way,160830,PASSENGER VEHICLE,PASSENGER VEHICLE
12/08/2012,14:25,Brooklyn,11223,40.6060431,-73.9782909,7.0,1.0,3,1,0,0,4,0,Driver Inattention/Distraction,Unspecified,122529,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
10/09/2012,20:29,Manhattan,10026,40.8011551,-73.9596475,1.0,1.0,0,0,0,0,1,1,Failure to Yield Right-of-Way,Unspecified,62376,PASSENGER VEHICLE,MOTORCYCLE
10/27/2012,18:30,Bronx,10452,40.8343235,-73.9199088,5.0,1.0,0,0,0,0,5,1,Driver Inexperience,Unspecified,85858,PASSENGER VEHICLE,MOTORCYCLE
09/17/2012,20:31,Brooklyn,11230,40.6268409,-73.9684781,2.0,1.0,0,0,0,0,2,1,Driver Inattention/Distraction,Driver Inattention/Distraction,130513,PASSENGER VEHICLE,PASSENGER VEHICLE
09/22/2012,22:31,Manhattan,10022,40.7629131,-73.9697999,2.0,1.0,1,1,0,0,1,0,Physical Disability,Unspecified,45850,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
09/15/2012,21:50,Brooklyn,11249,40.7056343,-73.9650938,2.0,1.0,1,1,0,0,1,0,Backing Unsafely,,194327,SPORT UTILITY / STATION WAGON,
08/27/2012,19:05,Staten Island,10312,40.5342669,-74.1539735,2.0,2.0,0,0,0,0,2,2,Traffic Control Disregarded,Unspecified,293916,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
08/23/2012,13:22,Manhattan,10004,40.70495,-74.0115487,3.0,1.0,2,1,0,0,1,0,Driver Inattention/Distraction,,516,SPORT UTILITY / STATION WAGON,
08/21/2012,21:32,Bronx,10469,40.8675505,-73.8615031,3.0,1.0,0,0,0,0,3,1,Failure to Yield Right-of-Way,Unspecified,103051,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
09/05/2012,23:54,Brooklyn,11225,40.656762,-73.9601349,3.0,1.0,0,1,0,0,3,0,Unspecified,Unspecified,152745,PASSENGER VEHICLE,PASSENGER VEHICLE
08/11/2012,12:18,Bronx,10474,40.8120773,-73.8868051,2.0,1.0,0,0,0,0,2,1,Unspecified,Unspecified,76398,PASSENGER VEHICLE,PASSENGER VEHICLE
08/08/2012,2:09,Brooklyn,11204,40.6187991,-73.9834881,3.0,1.0,0,0,0,0,3,1,Unspecified,Unspecified,130180,LARGE COM VEH(6 OR MORE TIRES),SPORT UTILITY / STATION WAGON
07/16/2012,23:17,Bronx,10467,40.8786453,-73.871598,2.0,1.0,0,0,0,0,2,1,Traffic Control Disregarded,Unspecified,95006,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
07/22/2012,3:20,Queens,11418,40.6972045,-73.8133341,3.0,5.0,0,0,0,0,3,5,Traffic Control Disregarded,,208863,SPORT UTILITY / STATION WAGON,
07/12/2012,0:57,Bronx,10461,40.8430075,-73.8485467,1.0,1.0,0,0,0,0,1,1,Unspecified,,88620,PASSENGER VEHICLE,
07/14/2012,1:21,Bronx,10456,40.8387216,-73.9137706,2.0,1.0,1,1,0,0,1,0,Alcohol Involvement,Unspecified,85246,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON
09/09/2022,18:30,Bronx,10462,40.85095,-73.86681,1.0,1.0,0,1,0,0,1,0,Driver Inattention/Distraction,,4562616,Station Wagon/Sport Utility Vehicle,
08/25/2022,5:16,Bronx,10451.0,40.827812,-73.925934,1.0,1.0,0,0,0,0,1,1,Unsafe Speed,Unspecified,4558356,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
05/28/2023,20:27,Brooklyn,11208.0,40.667507,-73.88007,15.0,1.0,0,0,0,0,15,1,Unsafe Speed,Other Vehicular,4633379,Sedan,Station Wagon/Sport Utility Vehicle
09/24/2022,2:35,Queens,11419.0,40.691284,-73.82547,1.0,1.0,1,1,0,0,0,0,Unspecified,Unspecified,4567693,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
06/03/2023,2:44,Brooklyn,11220.0,40.645348,-74.01375,1.0,1.0,0,0,0,0,1,1,Traffic Control Disregarded,Unspecified,4634351,Station Wagon/Sport Utility Vehicle,Motorcycle
06/04/2023,19:28,Manhattan,10010.0,40.737545,-73.98409,4.0,1.0,2,1,1,0,1,0,Alcohol Involvement,Unspecified,4634861,Sedan,Station Wagon/Sport Utility Vehicle
